#cycle; #nombre morts; #taux global occupation; #distance global terroriste; #duree evenement
249; 54; 16.333333333333332; 12.500503150191946; 87.733
250; 54; 16.333333333333332; 11.382387692201418; 87.884
251; 54; 16.333333333333332; 10.347875894726297; 88.09
252; 54; 16.333333333333332; 14.340210595834096; 88.291
253; 54; 16.333333333333332; 12.524362484618587; 88.468
254; 54; 16.333333333333332; 11.266280391362207; 88.662
255; 54; 16.333333333333332; 10.021717435294688; 88.855
256; 54; 16.333333333333332; 8.9392589018994; 89.049
257; 54; 16.333333333333332; 7.998866372050457; 89.238
258; 54; 16.333333333333332; 7.291759590863909; 89.472
259; 54; 16.333333333333332; 12.616652659615331; 89.639
260; 54; 16.333333333333332; 11.785143948762686; 89.878
261; 54; 16.333333333333332; 26.701249959220842; 90.1
262; 54; 16.333333333333332; 37.96827608928786; 90.309
263; 54; 16.333333333333332; 36.30605707040901; 90.514
264; 54; 16.333333333333332; 34.65519811055517; 90.727
265; 54; 16.333333333333332; 33.01697924658752; 90.928
266; 54; 16.333333333333332; 31.392856047027937; 91.14
267; 54; 16.333333333333332; 29.784485176820912; 91.359
268; 54; 16.333333333333332; 28.193752962880122; 91.575
269; 54; 16.333333333333332; 26.622806797247833; 91.781
270; 54; 16.333333333333332; 25.069643269434184; 91.978
271; 54; 16.333333333333332; 23.531913435966143; 92.15
272; 54; 16.333333333333332; 22.006648585730318; 92.28
273; 54; 16.333333333333332; 20.49031270491256; 92.412
274; 54; 16.333333333333332; 19.339824466553626; 92.526
275; 54; 16.333333333333332; 17.904856856137616; 92.651
276; 54; 16.333333333333332; 16.58956009349113; 92.747
277; 54; 16.333333333333332; 15.608996062651167; 92.86
278; 54; 16.333333333333332; 14.901889281464621; 92.985
279; 54; 16.333333333333332; 13.79833589087135; 93.175
280; 54; 16.333333333333332; 15.110959096166413; 93.272
281; 54; 16.333333333333332; 20.578868985171862; 93.385
282; 54; 16.333333333333332; 18.924760131931944; 93.492
283; 54; 16.333333333333332; 17.284408269776467; 93.602
284; 54; 16.333333333333332; 15.663459286246317; 93.707
285; 54; 16.333333333333332; 14.070885268323087; 93.807
286; 54; 16.333333333333332; 12.645159627144038; 93.91
287; 54; 16.333333333333332; 15.181076207938851; 94.018
288; 54; 16.333333333333332; 13.588149416594014; 94.128
289; 54; 16.333333333333332; 12.000563571729822; 94.238
290; 54; 16.333333333333332; 10.421378936748367; 94.334
291; 54; 16.333333333333332; 9.005371971265136; 94.447
292; 54; 16.333333333333332; 7.692676559103648; 94.53
293; 54; 16.333333333333332; 6.580111686239458; 94.69
294; 54; 16.333333333333332; 11.241114363540227; 94.791
295; 54; 16.333333333333332; 10.592106475690107; 94.931
296; 54; 16.333333333333332; 9.279272816155935; 95.16
297; 54; 16.333333333333332; 13.318193725713249; 95.255
298; 54; 16.333333333333332; 12.363525961744266; 95.35
299; 54; 16.333333333333332; 11.760486991542889; 95.513
300; 54; 16.333333333333332; 13.681967919537819; 95.619
301; 54; 16.333333333333332; 11.892236655148745; 95.715
302; 54; 16.333333333333332; 13.488143187304543; 95.809
303; 54; 16.333333333333332; 12.669570590589984; 95.902
304; 54; 16.333333333333332; 28.696425525991987; 95.997
305; 54; 16.333333333333332; 26.803574078147083; 96.1
306; 54; 16.333333333333332; 24.93380743753549; 96.206
307; 54; 16.333333333333332; 23.08191278211469; 96.307
308; 54; 16.333333333333332; 21.239837407547835; 96.405
309; 54; 16.333333333333332; 19.410731263311575; 96.514
310; 54; 16.333333333333332; 17.59958742982794; 96.622
311; 54; 16.333333333333332; 15.972059094360716; 96.747
312; 54; 16.333333333333332; 17.63884549634513; 96.846
313; 54; 16.333333333333332; 15.839855900612624; 96.966
314; 54; 16.333333333333332; 14.169826036287384; 97.069
315; 54; 16.333333333333332; 12.527578281268418; 97.187
316; 54; 16.333333333333332; 10.970316107717148; 97.295
317; 54; 16.333333333333332; 9.86602215283999; 97.424
318; 54; 16.333333333333332; 7.986831617534272; 97.531
319; 54; 16.333333333333332; 6.494688226221324; 97.647
320; 54; 16.333333333333332; 8.752824152448168; 97.765
321; 54; 16.333333333333332; 7.661833740002269; 97.916
322; 54; 16.333333333333332; 10.627923616706552; 98.09
323; 54; 16.333333333333332; 9.734290784070199; 98.226
324; 54; 16.333333333333332; 10.47456569132996; 98.331
325; 54; 16.333333333333332; 10.872632003354207; 98.441
326; 54; 16.333333333333332; 17.82081875405194; 98.551
327; 54; 16.333333333333332; 19.878065119797018; 98.662
328; 54; 16.333333333333332; 18.126335036371827; 98.779
329; 54; 16.333333333333332; 16.399293064119288; 98.906
330; 54; 16.333333333333332; 14.688526449029228; 99.015
331; 54; 16.333333333333332; 13.000283948157316; 99.15
332; 54; 16.333333333333332; 11.502269042902645; 99.259
333; 54; 16.333333333333332; 12.667074171157827; 99.39
334; 54; 16.333333333333332; 11.205607564753459; 99.521
335; 54; 16.333333333333332; 9.837071483552633; 99.662
336; 54; 16.333333333333332; 12.244875861642235; 99.825
337; 54; 16.333333333333332; 10.876613195869936; 100.031
338; 54; 16.333333333333332; 12.791159131873185; 100.187
339; 54; 16.333333333333332; 11.111296154183405; 100.306
340; 54; 16.333333333333332; 9.44111682719164; 100.449
341; 54; 16.333333333333332; 8.58772947298615; 100.661
342; 54; 16.333333333333332; 7.875750652884352; 100.81
343; 54; 16.333333333333332; 10.846573896340944; 101.065
344; 54; 16.333333333333332; 30.358797005684163; 101.274
345; 54; 16.333333333333332; 39.71859183812186; 101.44
346; 54; 16.333333333333332; 39.94339202636576; 101.6
347; 54; 16.333333333333332; 39.78395366040038; 101.777
348; 54; 16.333333333333332; 39.34311166339158; 101.954
349; 54; 16.333333333333332; 39.96672682453397; 102.132
350; 54; 16.333333333333332; 51.163447460447884; 102.305
351; 54; 16.333333333333332; 51.376481634737274; 102.465
352; 54; 16.333333333333332; 50.19599850103569; 102.632
353; 54; 16.333333333333332; 49.22006075966888; 102.792
354; 54; 16.333333333333332; 48.18753995574945; 102.962
355; 54; 16.333333333333332; 47.14093572095135; 103.134
356; 54; 16.333333333333332; 52.35272539500506; 103.304
357; 54; 16.333333333333332; 51.45393657596376; 103.472
358; 54; 16.333333333333332; 50.64897803605417; 103.637
359; 54; 16.333333333333332; 49.89400817249453; 103.799
360; 54; 16.333333333333332; 49.09767274951577; 103.987
361; 54; 16.333333333333332; 47.42603533802654; 104.143
362; 54; 16.333333333333332; 45.68564547685398; 104.288
363; 54; 16.333333333333332; 43.439181034325635; 104.438
364; 54; 16.333333333333332; 41.302850669951155; 104.581
365; 54; 16.333333333333332; 40.05541015138382; 104.727
366; 54; 16.333333333333332; 37.36849111060331; 104.874
367; 54; 16.333333333333332; 34.55062292565489; 105.015
368; 54; 16.333333333333332; 37.71036354015049; 105.155
369; 54; 16.333333333333332; 34.74164343138642; 105.311
370; 54; 16.333333333333332; 32.10372736552438; 105.438
371; 54; 16.333333333333332; 29.496610862127024; 105.59
372; 54; 16.333333333333332; 26.574642384232316; 105.711
373; 54; 16.333333333333332; 23.68441914692161; 105.817
374; 54; 16.333333333333332; 21.296297818167947; 105.929
375; 54; 16.333333333333332; 18.66600583944419; 106.037
376; 54; 16.333333333333332; 16.337886446332593; 106.144
377; 54; 16.333333333333332; 14.343149727271722; 106.263
378; 54; 16.333333333333332; 12.352358382369859; 106.372
379; 54; 16.333333333333332; 10.548770476664425; 106.487
380; 54; 16.333333333333332; 9.11337277183187; 106.599
381; 54; 16.333333333333332; 6.3961799502286665; 106.706
382; 55; 16.0; 5.159565314406653; 106.817
383; 55; 16.0; 22.72997560428902; 106.915
384; 55; 16.0; 21.903974607574963; 107.023
385; 55; 16.0; 21.412327106531922; 107.185
386; 55; 16.0; 20.649267433021407; 107.311
387; 55; 16.0; 24.291806265805857; 107.507
388; 55; 16.0; 40.175490324814284; 107.653
389; 55; 16.0; 48.00509409514348; 107.754
390; 55; 16.0; 47.14457347378082; 107.878
391; 55; 16.0; 46.318116351635204; 107.991
392; 55; 16.0; 45.26867379947502; 108.106
393; 55; 16.0; 43.28463721960722; 108.215
394; 56; 15.666666666666666; 42.11067017037773; 108.317
395; 56; 15.666666666666666; 41.091023450321224; 108.42
396; 56; 15.666666666666666; 40.689344141386265; 108.533
397; 56; 15.666666666666666; 40.015820857644236; 108.633
398; 56; 15.666666666666666; 44.116090383853816; 108.74
399; 56; 15.666666666666666; 43.24708742462372; 108.885
400; 56; 15.666666666666666; 49.48565280746535; 109.012
401; 56; 15.666666666666666; 47.69368258440981; 109.296
402; 56; 15.666666666666666; 46.88997663370112; 109.527
403; 56; 15.666666666666666; 52.59522684680737; 109.633
404; 56; 15.666666666666666; 51.318230624689825; 109.746
405; 56; 15.666666666666666; 50.311014542684745; 109.86
406; 56; 15.666666666666666; 49.2706739552437; 109.949
407; 56; 15.666666666666666; 67.46490164056567; 110.107
408; 56; 15.666666666666666; 73.84359036723329; 110.219
409; 56; 15.666666666666666; 72.25970833653122; 110.337
410; 56; 15.666666666666666; 70.68236949007381; 110.455
411; 56; 15.666666666666666; 69.11216372122611; 110.582
412; 56; 15.666666666666666; 67.54977442432505; 110.696
413; 56; 15.666666666666666; 65.9960317205353; 110.828
414; 56; 15.666666666666666; 64.45208632318916; 110.939
415; 56; 15.666666666666666; 63.08469424695184; 111.062
416; 56; 15.666666666666666; 61.893614179765144; 111.177
417; 56; 15.666666666666666; 60.541153486768586; 111.303
418; 56; 15.666666666666666; 60.017734450919164; 111.413
419; 56; 15.666666666666666; 58.666060095405506; 111.542
420; 56; 15.666666666666666; 62.29250603907763; 111.67
421; 56; 15.666666666666666; 60.78928683831139; 111.792
422; 56; 15.666666666666666; 59.2871827070937; 111.909
423; 56; 15.666666666666666; 57.78642112772079; 112.034
424; 56; 15.666666666666666; 56.287294629851544; 112.156
425; 56; 15.666666666666666; 54.790185196101106; 112.28
426; 56; 15.666666666666666; 53.29560016178774; 112.4
427; 56; 15.666666666666666; 51.8042261641048; 112.528
428; 56; 15.666666666666666; 50.31701205684544; 112.656
429; 56; 15.666666666666666; 48.83529927115668; 112.787
430; 56; 15.666666666666666; 47.36103116608651; 112.903
431; 56; 15.666666666666666; 45.89709460814171; 113.024
432; 56; 15.666666666666666; 44.44787846525221; 113.153
433; 56; 15.666666666666666; 43.0201585197268; 113.275
434; 56; 15.666666666666666; 41.60631783399956; 113.391
435; 56; 15.666666666666666; 40.19256166555027; 113.517
436; 56; 15.666666666666666; 38.77892510713792; 113.632
437; 56; 15.666666666666666; 37.36546632202201; 113.755
438; 56; 15.666666666666666; 36.079894120249946; 113.869
439; 56; 15.666666666666666; 34.90290744713167; 113.996
440; 56; 15.666666666666666; 33.72688338784331; 114.17
441; 56; 15.666666666666666; 36.53266591548347; 114.292
442; 56; 15.666666666666666; 35.26695002043282; 114.405
443; 56; 15.666666666666666; 35.96373572206759; 114.532
444; 56; 15.666666666666666; 34.370428079701206; 114.651
445; 56; 15.666666666666666; 32.78059653029584; 114.77
446; 56; 15.666666666666666; 31.195537849526094; 114.891
447; 56; 15.666666666666666; 29.61735824312351; 115.008
448; 56; 15.666666666666666; 28.049891017662347; 115.144
449; 56; 15.666666666666666; 33.58885336683536; 115.261
450; 56; 15.666666666666666; 32.08185998877709; 115.391
451; 56; 15.666666666666666; 30.602137075312044; 115.517
452; 56; 15.666666666666666; 29.14239152654054; 115.636
453; 56; 15.666666666666666; 27.68754363536299; 115.769
454; 56; 15.666666666666666; 26.23825132004733; 115.901
455; 56; 15.666666666666666; 25.68270007216154; 116.037
456; 56; 15.666666666666666; 24.482672493571172; 116.155
457; 56; 15.666666666666666; 22.974999032071242; 116.287
458; 56; 15.666666666666666; 21.490236133584006; 116.413
459; 56; 15.666666666666666; 20.21082145106978; 116.546
460; 56; 15.666666666666666; 19.10268890813363; 116.672
461; 56; 15.666666666666666; 17.930256247872183; 116.789
462; 56; 15.666666666666666; 23.04456276147856; 116.926
463; 56; 15.666666666666666; 31.634938595256333; 117.039
464; 56; 15.666666666666666; 30.025511976296794; 117.163
465; 56; 15.666666666666666; 28.582756291186744; 117.279
466; 56; 15.666666666666666; 27.140005454866195; 117.408
467; 56; 15.666666666666666; 25.53059349298549; 117.538
468; 56; 15.666666666666666; 23.921187902892996; 117.658
469; 56; 15.666666666666666; 22.311789690013274; 117.776
470; 56; 15.666666666666666; 20.70240008300381; 117.907
471; 56; 15.666666666666666; 19.630447654190462; 118.012
472; 56; 15.666666666666666; 18.49248471108364; 118.121
473; 56; 15.666666666666666; 17.35453618926272; 118.286
474; 56; 15.666666666666666; 35.66733348526401; 118.403
475; 56; 15.666666666666666; 33.86275734767102; 118.539
476; 56; 15.666666666666666; 32.391541463690324; 118.653
477; 56; 15.666666666666666; 31.253693161783882; 118.778
478; 56; 15.666666666666666; 29.5768274820046; 118.895
479; 56; 15.666666666666666; 28.008118569583875; 119.015
480; 56; 15.666666666666666; 26.77282444704599; 119.149
481; 56; 15.666666666666666; 35.28214135300232; 119.26
482; 56; 15.666666666666666; 33.558883614663216; 119.379
483; 56; 15.666666666666666; 31.98278648896186; 119.484
484; 56; 15.666666666666666; 31.523846694566966; 119.592
485; 56; 15.666666666666666; 29.867733611316527; 119.683
486; 56; 15.666666666666666; 47.30639809393484; 119.807
487; 56; 15.666666666666666; 45.714125850011634; 119.912
488; 56; 15.666666666666666; 44.12434778125914; 120.055
489; 56; 15.666666666666666; 52.40366052923077; 120.164
490; 56; 15.666666666666666; 50.485917898985385; 120.277
491; 56; 15.666666666666666; 48.73773604880247; 120.385
