#id; #statu; #coord; #cycle; 
19; vivant; {278.7571274232055,128.66493728692964,0.0}; 2
20; vivant; {260.0593127346723,128.04961088802773,0.0}; 2
21; vivant; {129.16831557664864,121.69120204074916,0.0}; 2
22; en fuite; {124.62963331011542,131.15627127717443,0.0}; 2
23; en fuite; {148.15279538311492,130.26373141465984,0.0}; 2
24; en fuite; {137.06997924551223,136.07365602140348,0.0}; 2
25; vivant; {151.46056767701072,135.52713022878294,0.0}; 2
26; en fuite; {101.01364903866158,120.79580145284783,0.0}; 2
27; paralysé; {393.94553661278,6.225415575903994,0.0}; 2
28; vivant; {345.2933915024391,13.623136369752936,0.0}; 2
29; vivant; {358.3348462060536,21.968263824386124,0.0}; 2
30; vivant; {361.64139210468943,5.919244056631058,0.0}; 2
31; paralysé; {391.1263734415614,41.13755237218476,0.0}; 2
32; vivant; {175.47144340971067,190.02182807203235,0.0}; 2
33; en fuite; {176.07910481564255,190.94405158965282,0.0}; 2
34; vivant; {116.85423548082277,191.17681428546376,0.0}; 2
35; vivant; {182.69161299335443,188.38318282229017,0.0}; 2
36; vivant; {156.545217771606,177.98988890895063,0.0}; 2
37; vivant; {214.86736603723438,188.0607756145511,0.0}; 2
38; paralysé; {285.79339474570094,157.16261112450908,0.0}; 2
39; vivant; {278.8884924224247,163.09635955192036,0.0}; 2
40; paralysé; {171.6634163874451,183.30658875235497,0.0}; 2
41; vivant; {139.64644583413303,178.77343361457991,0.0}; 2
42; vivant; {229.1765789328011,182.68806904335776,0.0}; 2
43; vivant; {217.18121644197436,178.42796048304876,0.0}; 2
44; vivant; {283.12700916837383,84.56777015953652,0.0}; 2
45; paralysé; {351.4383656632809,74.02983355455405,0.0}; 2
46; paralysé; {191.44314385526027,112.11028600390702,0.0}; 2
47; vivant; {148.92968839847367,111.98379020300209,0.0}; 2
48; vivant; {94.34206479228142,100.15345174629387,0.0}; 2
49; vivant; {91.03860412074853,48.034766296612126,0.0}; 2
50; paralysé; {64.19051749350713,44.45386708020359,0.0}; 2
51; vivant; {169.23660646374736,57.26709651591057,0.0}; 2
52; vivant; {289.96749872526993,60.48460769477038,0.0}; 2
53; paralysé; {60.58654925580036,55.513188353545935,0.0}; 2
54; vivant; {133.8618212424381,55.00532319131055,0.0}; 2
55; vivant; {69.19899787049431,44.78437567142037,0.0}; 2
56; vivant; {252.92548407940848,53.428346355976174,0.0}; 2
57; vivant; {207.4635733284854,52.231187407415355,0.0}; 2
58; vivant; {96.69788326967786,60.61233417264903,0.0}; 2
59; en fuite; {236.86448639684298,58.348186533337305,0.0}; 2
60; vivant; {112.97754566413421,45.09229223359869,0.0}; 2
61; vivant; {87.40342185905583,51.18223121563147,0.0}; 2
62; vivant; {150.14073510941267,43.96240792428085,0.0}; 2
63; vivant; {239.65029717112247,51.37492740223722,0.0}; 2
64; paralysé; {295.15021355383396,55.9771776509494,0.0}; 2
65; paralysé; {188.40001382510334,58.40364643544318,0.0}; 2
66; vivant; {85.61024742413852,11.604187987842495,0.0}; 2
67; vivant; {152.80492442793587,14.724934788422336,0.0}; 2
68; vivant; {227.48951175905876,16.29987864280359,0.0}; 2
69; paralysé; {257.55807839503876,12.926438944985943,0.0}; 2
70; paralysé; {97.88984797768974,4.761110182706141,0.0}; 2
71; vivant; {134.9488409394863,10.812211835790043,0.0}; 2
72; vivant; {202.57477779959987,17.360430311594722,0.0}; 2
