#id; #coord; #cycle; 
4; {303.5,13.452031065779963,0.0}; 28
5; {219.5,173.50000000000716,0.0}; 28
0; {54.497848209485724,16.5,0.0}; 29
1; {76.49507680165613,86.5,0.0}; 29
2; {74.38606569300775,86.5,0.0}; 29
3; {70.42249574602846,86.5,0.0}; 29
4; {303.5,13.452031065779963,0.0}; 29
5; {219.5,171.50000000000716,0.0}; 29
0; {54.497848209485724,16.5,0.0}; 30
1; {78.49507680165613,86.5,0.0}; 30
2; {76.38606569300775,86.5,0.0}; 30
3; {72.42249574602846,86.5,0.0}; 30
4; {303.5,13.452031065779963,0.0}; 30
5; {218.5,170.5,0.0}; 30
0; {54.497848209485724,16.5,0.0}; 31
1; {80.49507680165613,86.5,0.0}; 31
2; {78.38606569300775,86.5,0.0}; 31
3; {74.42249574602846,86.5,0.0}; 31
4; {301.5011498482496,13.5,0.0}; 31
5; {218.5,168.5,0.0}; 31
0; {54.497848209485724,16.5,0.0}; 32
1; {82.49507680165613,86.5,0.0}; 32
2; {80.38606569300775,86.5,0.0}; 32
3; {76.42249574602846,86.5,0.0}; 32
4; {301.5011498482496,13.5,0.0}; 32
5; {217.5,167.5,0.0}; 32
0; {54.497848209485724,16.5,0.0}; 33
1; {84.49507680165613,86.5,0.0}; 33
2; {82.38606569300775,86.5,0.0}; 33
3; {78.42249574602846,86.5,0.0}; 33
4; {301.5011498482496,13.5,0.0}; 33
5; {215.5,167.5,0.0}; 33
0; {54.497848209485724,16.5,0.0}; 34
1; {86.49507680165613,86.5,0.0}; 34
2; {84.38606569300775,86.5,0.0}; 34
3; {80.42249574602846,86.5,0.0}; 34
4; {301.5011498482496,13.5,0.0}; 34
5; {213.5,167.5,0.0}; 34
0; {54.497848209485724,16.5,0.0}; 35
1; {88.49507680165613,86.5,0.0}; 35
2; {86.38606569300775,86.5,0.0}; 35
3; {82.42249574602846,86.5,0.0}; 35
4; {301.5011498482496,13.5,0.0}; 35
5; {211.5,167.5,0.0}; 35
0; {54.497848209485724,16.5,0.0}; 36
1; {90.49507680165613,86.5,0.0}; 36
2; {88.38606569300775,86.5,0.0}; 36
3; {84.42249574602846,86.5,0.0}; 36
4; {301.5011498482496,13.5,0.0}; 36
5; {209.5,167.5,0.0}; 36
0; {54.497848209485724,16.5,0.0}; 37
1; {92.49507680165613,86.5,0.0}; 37
2; {90.38606569300775,86.5,0.0}; 37
3; {86.42249574602846,86.5,0.0}; 37
4; {301.5011498482496,13.5,0.0}; 37
5; {207.5,167.5,0.0}; 37
0; {54.5,14.500002315098529,0.0}; 38
1; {94.49507680165613,86.5,0.0}; 38
2; {92.38606569300775,86.5,0.0}; 38
3; {88.42249574602846,86.5,0.0}; 38
4; {299.5011498482496,13.5,0.0}; 38
5; {205.5,167.5,0.0}; 38
0; {54.5,14.500002315098529,0.0}; 39
1; {96.49507680165613,86.5,0.0}; 39
2; {94.38606569300775,86.5,0.0}; 39
3; {90.42249574602846,86.5,0.0}; 39
4; {299.5011498482496,13.5,0.0}; 39
5; {203.5,167.5,0.0}; 39
0; {54.5,14.500002315098529,0.0}; 40
1; {98.49507680165613,86.5,0.0}; 40
2; {96.38606569300775,86.5,0.0}; 40
3; {92.42249574602846,86.5,0.0}; 40
4; {299.5011498482496,13.5,0.0}; 40
5; {201.5,167.5,0.0}; 40
0; {54.5,14.500002315098529,0.0}; 41
1; {100.49507680165613,86.5,0.0}; 41
2; {98.38606569300775,86.5,0.0}; 41
3; {94.42249574602846,86.5,0.0}; 41
4; {299.5011498482496,13.5,0.0}; 41
5; {200.5,166.5,0.0}; 41
0; {54.5,14.500002315098529,0.0}; 42
1; {102.49507680165613,86.5,0.0}; 42
2; {100.38606569300775,86.5,0.0}; 42
3; {96.42249574602846,86.5,0.0}; 42
4; {299.5011498482496,13.5,0.0}; 42
5; {200.5,164.5,0.0}; 42
0; {54.5,14.500002315098529,0.0}; 43
1; {104.49507680165613,86.5,0.0}; 43
2; {102.38606569300775,86.5,0.0}; 43
3; {98.42249574602846,86.5,0.0}; 43
4; {299.5011498482496,13.5,0.0}; 43
5; {200.5,162.5,0.0}; 43
0; {54.5,14.500002315098529,0.0}; 44
1; {106.49507680165613,86.5,0.0}; 44
2; {104.38606569300775,86.5,0.0}; 44
3; {100.42249574602846,86.5,0.0}; 44
4; {299.5011498482496,13.5,0.0}; 44
5; {200.5,160.5,0.0}; 44
0; {56.49999999999732,14.5,0.0}; 45
1; {108.49507680165613,86.5,0.0}; 45
2; {106.38606569300775,86.5,0.0}; 45
3; {102.42249574602846,86.5,0.0}; 45
4; {297.5011498482496,13.5,0.0}; 45
5; {200.5,158.5,0.0}; 45
0; {56.49999999999732,14.5,0.0}; 46
1; {110.49507680165613,86.5,0.0}; 46
2; {108.38606569300775,86.5,0.0}; 46
3; {104.42249574602846,86.5,0.0}; 46
4; {297.5011498482496,13.5,0.0}; 46
5; {200.5,156.5,0.0}; 46
0; {56.49999999999732,14.5,0.0}; 47
1; {112.49507680165613,86.5,0.0}; 47
2; {110.38606569300775,86.5,0.0}; 47
3; {106.42249574602846,86.5,0.0}; 47
4; {297.5011498482496,13.5,0.0}; 47
5; {200.5,154.5,0.0}; 47
0; {56.49999999999732,14.5,0.0}; 48
1; {114.49507680165613,86.5,0.0}; 48
2; {112.38606569300775,86.5,0.0}; 48
3; {108.42249574602846,86.5,0.0}; 48
4; {297.5011498482496,13.5,0.0}; 48
5; {199.5,153.5,0.0}; 48
0; {56.49999999999732,14.5,0.0}; 49
1; {116.49507680165613,86.5,0.0}; 49
2; {114.38606569300775,86.5,0.0}; 49
3; {110.42249574602846,86.5,0.0}; 49
4; {297.5011498482496,13.5,0.0}; 49
5; {197.5,153.5,0.0}; 49
0; {56.49999999999732,14.5,0.0}; 50
1; {118.49507680165613,86.5,0.0}; 50
2; {116.38606569300775,86.5,0.0}; 50
3; {112.42249574602846,86.5,0.0}; 50
4; {297.5011498482496,13.5,0.0}; 50
5; {195.5,153.5,0.0}; 50
0; {56.49999999999732,14.5,0.0}; 51
1; {120.49507680165613,86.5,0.0}; 51
2; {118.38606569300775,86.5,0.0}; 51
3; {114.42249574602846,86.5,0.0}; 51
4; {297.5011498482496,13.5,0.0}; 51
5; {193.5,153.5,0.0}; 51
0; {58.49999999999732,14.5,0.0}; 52
1; {122.49507680165613,86.5,0.0}; 52
2; {120.38606569300775,86.5,0.0}; 52
3; {116.42249574602846,86.5,0.0}; 52
4; {295.5011498482496,13.5,0.0}; 52
5; {191.5,153.5,0.0}; 52
0; {60.49999999999732,14.5,0.0}; 53
1; {124.49507680165613,86.5,0.0}; 53
2; {122.38606569300775,86.5,0.0}; 53
3; {118.42249574602846,86.5,0.0}; 53
4; {295.5011498482496,13.5,0.0}; 53
5; {189.5,153.5,0.0}; 53
0; {62.49999999999732,14.5,0.0}; 54
1; {126.49507680165613,86.5,0.0}; 54
2; {124.38606569300775,86.5,0.0}; 54
3; {120.42249574602846,86.5,0.0}; 54
4; {295.5011498482496,13.5,0.0}; 54
5; {187.5,153.5,0.0}; 54
0; {64.49999999999733,14.5,0.0}; 55
1; {128.49507680165613,86.5,0.0}; 55
2; {126.38606569300775,86.5,0.0}; 55
3; {122.42249574602846,86.5,0.0}; 55
4; {295.5011498482496,13.5,0.0}; 55
5; {187.5,151.5,0.0}; 55
0; {66.49999999999733,14.5,0.0}; 56
1; {130.49507680165613,86.5,0.0}; 56
2; {128.38606569300777,86.5,0.0}; 56
3; {124.42249574602846,86.5,0.0}; 56
4; {295.5011498482496,13.5,0.0}; 56
5; {187.5,149.5,0.0}; 56
0; {68.49999999999733,14.5,0.0}; 57
1; {132.49507680165613,86.5,0.0}; 57
2; {130.38606569300777,86.5,0.0}; 57
3; {126.42249574602846,86.5,0.0}; 57
4; {295.5011498482496,13.5,0.0}; 57
5; {187.5,147.5,0.0}; 57
0; {70.49999999999733,14.5,0.0}; 58
1; {134.49507680165613,86.5,0.0}; 58
2; {132.38606569300777,86.5,0.0}; 58
3; {128.42249574602846,86.5,0.0}; 58
4; {295.5011498482496,13.5,0.0}; 58
5; {187.5,145.5,0.0}; 58
0; {72.49999999999733,14.5,0.0}; 59
1; {136.49507680165613,86.5,0.0}; 59
2; {134.38606569300777,86.5,0.0}; 59
3; {130.42249574602846,86.5,0.0}; 59
4; {295.5,15.49999933892472,0.0}; 59
5; {187.5,143.5,0.0}; 59
0; {72.49999999999733,14.5,0.0}; 60
1; {138.49507680165613,86.5,0.0}; 60
2; {136.38606569300777,86.5,0.0}; 60
3; {132.42249574602846,86.5,0.0}; 60
4; {295.5,15.49999933892472,0.0}; 60
5; {187.5,141.5,0.0}; 60
0; {72.49999999999733,14.5,0.0}; 61
1; {140.49507680165613,86.5,0.0}; 61
2; {138.38606569300777,86.5,0.0}; 61
3; {134.42249574602846,86.5,0.0}; 61
4; {295.5,15.49999933892472,0.0}; 61
5; {187.5,139.5,0.0}; 61
0; {72.49999999999733,14.5,0.0}; 62
1; {142.49507680165613,86.5,0.0}; 62
2; {140.38606569300777,86.5,0.0}; 62
3; {136.42249574602846,86.5,0.0}; 62
4; {295.5,15.49999933892472,0.0}; 62
5; {187.5,137.5,0.0}; 62
0; {72.49999999999733,14.5,0.0}; 63
1; {144.49507680165613,86.5,0.0}; 63
2; {142.38606569300777,86.5,0.0}; 63
3; {138.42249574602846,86.5,0.0}; 63
4; {295.5,15.49999933892472,0.0}; 63
5; {186.5,136.5,0.0}; 63
0; {72.49999999999733,14.5,0.0}; 64
1; {146.49507680165613,86.5,0.0}; 64
2; {144.38606569300777,86.5,0.0}; 64
3; {140.42249574602846,86.5,0.0}; 64
4; {295.5,15.49999933892472,0.0}; 64
5; {184.5,136.5,0.0}; 64
0; {72.49999999999733,14.5,0.0}; 65
1; {148.49507680165613,86.5,0.0}; 65
2; {146.38606569300777,86.5,0.0}; 65
3; {142.42249574602846,86.5,0.0}; 65
4; {295.5,15.49999933892472,0.0}; 65
5; {182.5,136.5,0.0}; 65
0; {70.49999999999733,14.5,0.0}; 66
1; {150.49507680165613,86.5,0.0}; 66
2; {148.38606569300777,86.5,0.0}; 66
3; {144.42249574602846,86.5,0.0}; 66
4; {293.5000000000002,15.5,0.0}; 66
5; {180.5,136.5,0.0}; 66
0; {70.49999999999733,14.5,0.0}; 67
1; {152.49507680165613,86.5,0.0}; 67
2; {150.38606569300777,86.5,0.0}; 67
3; {146.42249574602846,86.5,0.0}; 67
4; {293.5000000000002,15.5,0.0}; 67
5; {178.5,136.5,0.0}; 67
0; {70.49999999999733,14.5,0.0}; 68
1; {154.49507680165613,86.5,0.0}; 68
2; {152.38606569300777,86.5,0.0}; 68
3; {148.42249574602846,86.5,0.0}; 68
4; {293.5000000000002,15.5,0.0}; 68
5; {176.5,136.5,0.0}; 68
0; {70.49999999999733,14.5,0.0}; 69
1; {156.49507680165613,86.5,0.0}; 69
2; {154.38606569300777,86.5,0.0}; 69
3; {150.42249574602846,86.5,0.0}; 69
4; {293.5000000000002,15.5,0.0}; 69
5; {174.5,136.5,0.0}; 69
0; {70.49999999999733,14.5,0.0}; 70
1; {158.49507680165613,86.5,0.0}; 70
2; {156.38606569300777,86.5,0.0}; 70
3; {152.42249574602846,86.5,0.0}; 70
4; {293.5000000000002,15.5,0.0}; 70
5; {172.5,136.5,0.0}; 70
0; {70.49999999999733,14.5,0.0}; 71
1; {160.49507680165613,86.5,0.0}; 71
2; {158.38606569300777,86.5,0.0}; 71
3; {154.42249574602846,86.5,0.0}; 71
4; {293.5000000000002,15.5,0.0}; 71
5; {170.5,136.5,0.0}; 71
0; {70.49999999999733,14.5,0.0}; 72
1; {162.49507680165613,86.5,0.0}; 72
